book_name,speaker_ac,prop_explicit,accuracy_ac,full_ac
AlicesAdventuresinWonderland,0.8812316715542522,0.8313782991202346,0.47549019607843135,0.46568627450980393
AnneOfGreenGables,0.7883683360258481,0.5258481421647819,0.7728674203494348,0.7132579650565262
Emma,0.573076923076923,0.2653846153846154,0.5204872646733112,0.4064230343300111
NorthangerAbbey,0.535024154589372,0.1932367149758454,0.40119760479041916,0.31736526946107785
Persuasion,0.6096654275092936,0.43866171003717475,0.5374592833876222,0.40716612377850164
PrideandPrejudice,0.5303490136570561,0.255690440060698,0.41383989145183175,0.29579375848032563
SenseandSensibility,0.5404651162790698,0.33674418604651163,0.5275229357798165,0.3287461773700306
TheAgeofInnocence,0.5239071038251366,0.21243169398907105,0.2173076923076923,0.16153846153846155
TheAwakening,0.6239737274220033,0.25287356321839083,0.4990476190476191,0.4266666666666667
TheInvisibleMan,0.6740331491712708,0.4685082872928177,0.301994301994302,0.25925925925925924
TheManWhoWasThursday,0.6525,0.6275,0.636986301369863,0.571917808219178
ThePictureOfDorianGray,0.43559322033898307,0.22372881355932203,0.2794486215538847,0.12406015037593984
TheSignoftheFour,0.5746951219512195,0.13109756097560976,0.784452296819788,0.6501766784452296
